title,question_fr,proof_fr,widget_fr,widget_en,help_fr,renewable
1.1.1,Avez-vous adopté une politique ou un plan de développement durable?,copie de la politique de développement durable avec la date de la dernière révision.,L'établissement affiche publiquement sa politique de développement durable.,The establishment publicly displays its policy on sustainable development.,"Adopter une politique ou un plan de développement durable permet de formaliser l'engagement de l'organisation et d'envoyer un message clair aux employés et à la clientèle. L'élaboration d'une politique ou d'un plan de développement durable devrait faire participer les employés dans son élaboration afin d'en favoriser l'appropriation par ceux-ci. Idéalement, la politique devrait être succincte (2 ou 3 paragraphes), alors que le plan ressemblerait plus à une liste d'actions et d'objectifs, et se présenter d'une manière graphique qui encourage la lecture.",x
1.1.2,Communiquez-vous votre politique ou votre plan de développement durable à vos employés?,copie des éléments et outils de communication utilisés.,L'établissement affiche publiquement sa politique de développement durable.,The establishment publicly displays its policy on sustainable development.,"Il est important de communiquer sa politique ou son plan de développement durable aux employés. Plusieurs moyens de diffusion sont possibles: par courriel, affichage dans les secteurs réservés aux employés et en faire une annonce officielle par la direction lors d'une réunion de l'ensemble des employés.",x
1.1.3,Communiquez-vous votre politique ou votre plan de développement durable à vos partenaires et fournisseurs?,copie des éléments et outils de communication utilisés.,L'établissement affiche publiquement sa politique de développement durable.,The establissement publicly displays its policy on sustainable development.,"Il est important de communiquer sa politique ou son plan de développement durable aux fournisseurs et aux partenaires. En plus d'envoyer un message clair sur l'engagement de l'organisation, cela permet de préparer les fournisseurs et partenaires aux demandes qui leur seront éventuellement dirigées. La communication de la politique ou du plan de développement durable se fait généralement par un courriel officiel de la direction à l'ensemble des fournisseurs et partenaires. On peut aussi jumeler à cet envoi une demande de commentaires sur l'orientation que l'organisation a entreprise.",x
1.1.4,Communiquez-vous votre politique ou votre plan de développement durable à vos clients?,copie des éléments et outils de communication utilisés.,L'établissement affiche publiquement sa politique de développement durable.,The establissement publicly displays its policy on sustainable development.,La communication de la politique ou du plan de développement durable à la clientèle est une partie importante du processus. Il est important de l'afficher bien en évidence à l'entrée de l'établissement ou dans un endroit de grande circulation. On constate aujourd'hui que la clientèle est de plus en plus intéressée par les questions de développement durable. C'est donc aussi une manière de fidélisation de votre clientèle.,x
1.1.5,Avez-vous nommé un coordonnateur de la gestion du développement durable?,la résolution annonçant le nom de la ressource mandatée,L'établissement a nommé un coordonnateur au développement durable.,the establishment has put in charge a sustanable development coordonator,"Afin de faire avancer le développement durable dans l'établissement, il est nécessaire de nommer un responsable dédié au développement durable. Cette personne a généralement déjà un intérêt prononcé pour les aspects environnementaux et sociaux. Elle a déjà proposé des actions pour réduire l'impact des activités de l'établissement. De plus, elle devrait se rapporter directement à la direction de l'établissement. Elle doit idéalement être un leader naturel et disposer de certaines aptitudes de communication.",x
1.1.6,Avez-vous formé un comité de gestion du développement durable?,compositon et nom des membres du comité,L'établissement a formé un comité de développement durable.,The establishment has put together a sustainable development committee.,"En plus de la personne désignée responsable du développement durable, lorsque l'établissement est suffisamment important, il est nécessaire de former un comité de développement durable composé de personnes représentant les différents départements ou fonctions de l'établissement (Ressources humaines, approvisionnement, représentant syndical, direction, accueil, cuisine, etc.).",x
1.1.7,Et-ce que le comité se réunit au moins 2 fois par an?,comptes-rendus datés des réunions,Le comité de développement durable de l'établissement se réunit au moins 2 fois par an.,The establishment’s sustainable committee holds meetings twice a year.,"Le comité doit se réunir au moins 2 fois par année et préférablement plus au début de la démarche de développement durable. Après chaque réunion, un compte rendu de l'avancement des actions devrait être fait au comité de direction par le responsable en développement durable. Il peut-être pertinent d'utiliser un tableau de bord afin de voir l'évolution de l'ensemble des dossiers.",x
1.1.8,Effectuez-vous la rédaction d'un rapport périodique de développement durable pour l’établissement?,rapport de développement durable ou rapport annuel,L'établissement publie périodiquement un rapport de développement durable.,The establishment publishes regularly a report on sustainable development.,La publication d'un rapport de développement durable pour l'établissement sous forme de document indépendant ou sous la forme d'une liste d'indicateurs dans le rapport annuel devrait être faite par l'établissement afin de faciliter la communication des résultats des actions réalisées.,x
1.1.9,Avez-vous créé une section «développement durable» dans le rapport annuel de l'établissement?,lien de la section du site Internet,Il y a une section développement durable sur le site internet de l'établissement.,There is a section devoted to sustainable development on the establishment' Website.,"En plus du rapport ou en remplacement de celui-ci, l'établissement devrait communiquer le résultat ou nommer les actions entreprises pour réduire les impacts négatifs et augmenter les retombées positives des activités et des décisions. La communication aujourd'hui passe souvent via le site internet de l'établissement, il est donc logique de consacrer une section du site au développement durable. C'est aussi un endroit adéquat pour communiquer la politique, le plan d'action ou autres documents pertinents.",x
1.1.10,Offrez-vous systématiquement l’option d’envoi de la facture par courriel au client?,,L'envoi par courriel de la facture de votre séjour dans l'établissement vous a été suggéré.,You have the possibility to receive your bill via e-mail.,"Afin de réduire l'utilisation du papier et d'optimiser l'utilisation des technologies de l'information, il est pertinent d'envoyer les factures par courriel. Attention toutefois de mentionner qu'il est préférable pour le client de ne pas imprimer la facture de son côté et de télécharger la facture dans un dossier informatique.",x
